video:1 total:97.173%±0.0%	common:97.996%±0.0%	private:92.274%±0.0%	middle:96.944%±0.0%	
video:2 total:89.793%±0.455%	common:96.562%±0.815%	private:83.742%±1.382%	middle:85.784%±0.0%	
video:3 total:86.638%±1.952%	common:98.588%±1.954%	private:78.791%±0.361%	middle:80.384%±0.0%	
video:4 total:83.316%±2.654%	common:98.824%±1.759%	private:72.021%±0.972%	middle:77.377%±0.0%	
video:5 total:76.707%±3.573%	common:99.207%±1.194%	private:63.745%±0.327%	middle:70.561%±0.0%	
video:6 total:75.777%±4.06%	common:99.399%±0.772%	private:61.067%±1.028%	middle:66.911%±0.0%	
video:7 total:75.726%±3.503%	common:99.26%±1.439%	private:60.32%±0.991%	middle:67.164%±0.0%	
video:8 total:74.622%±3.572%	common:99.163%±1.268%	private:60.615%±0.961%	middle:66.446%±0.0%	
video:9 total:71.891%±3.568%	common:99.106%±1.084%	private:57.652%±0.908%	middle:63.647%±0.0%	
video:10 total:71.855%±3.71%	common:99.543%±0.694%	private:58.683%±0.932%	middle:64.059%±0.0%	
video:11 total:75.143%±3.048%	common:99.215%±1.36%	private:61.14%±0.717%	middle:68.823%±0.0%	
video:12 total:68.474%±3.108%	common:98.293%±1.948%	private:55.011%±0.761%	middle:60.911%±0.0%	
video:13 total:75.019%±3.212%	common:99.538%±0.837%	private:61.128%±0.717%	middle:69.338%±0.0%	
video:14 total:73.491%±2.442%	common:99.064%±0.963%	private:61.86%±1.155%	middle:65.901%±0.0%	
video:15 total:74.823%±2.001%	common:98.577%±2.12%	private:61.655%±1.503%	middle:69.721%±0.0%	
video:16 total:73.846%±2.147%	common:98.955%±1.415%	private:63.075%±1.864%	middle:67.384%±0.0%	
