video:1 total:91.667%±0.0%	common:39.881%±0.0%	private:100.0%±0.0%	middle:97.222%±0.0%	
video:2 total:85.166%±1.528%	common:18.983%±2.018%	private:88.672%±11.328%	middle:86.429%±0.0%	
video:3 total:81.106%±1.263%	common:11.141%±3.881%	private:80.457%±13.819%	middle:81.818%±0.0%	
video:4 total:76.267%±1.352%	common:11.277%±3.969%	private:67.363%±19.169%	middle:78.785%±0.0%	
video:5 total:69.249%±1.212%	common:10.41%±5.549%	private:57.164%±22.456%	middle:71.893%±0.0%	
video:6 total:68.808%±1.468%	common:13.006%±7.7%	private:55.059%±20.83%	middle:68.381%±0.0%	
video:7 total:67.637%±1.423%	common:14.183%±8.074%	private:52.159%±20.478%	middle:68.522%±0.0%	
video:8 total:67.798%±1.639%	common:16.173%±11.242%	private:50.906%±19.725%	middle:67.57%±0.0%	
video:9 total:65.27%±1.849%	common:18.901%±13.186%	private:50.39%±18.146%	middle:64.84%±0.0%	
video:10 total:65.091%±2.375%	common:22.87%±15.865%	private:49.759%±17.43%	middle:65.397%±0.0%	
video:11 total:70.188%±2.354%	common:26.079%±19.619%	private:51.034%±16.641%	middle:69.811%±0.0%	
video:12 total:64.475%±3.159%	common:28.701%±21.074%	private:46.785%±16.689%	middle:62.131%±0.0%	
video:13 total:71.2%±2.898%	common:34.432%±24.365%	private:52.786%±14.541%	middle:70.423%±0.0%	
video:14 total:70.401%±3.451%	common:39.431%±28.181%	private:54.11%±13.141%	middle:67.2%±0.0%	
video:15 total:72.744%±3.491%	common:42.467%±26.735%	private:55.434%±12.605%	middle:71.002%±0.0%	
video:16 total:73.707%±3.893%	common:50.641%±30.203%	private:61.641%±10.181%	middle:69.277%±0.0%	
